model,storage,carrier,condition,price
Apple iPhone 7,32gb,verizon,faulty,22.8
Apple iPhone 7,32gb,AT&T,good,64.37
Apple iPhone 7,32gb,AT&T,poor,57.93
Apple iPhone 7,32gb,AT&T,faulty,19.31
Apple iPhone 7,32gb,T-Mobile,good,58.75
Apple iPhone 7,32gb,T-Mobile,poor,52.87
Apple iPhone 7,32gb,T-Mobile,faulty,17.62
Apple iPhone 7,32gb,sprint,good,54.19
Apple iPhone 7,32gb,sprint,poor,48.77
Apple iPhone 7,32gb,sprint,faulty,16.26
Apple iPhone 7,32gb,other,good,33.44
Apple iPhone 7,32gb,other,poor,30.1
Apple iPhone 7,32gb,other,faulty,10.03
Apple iPhone 7,128gb,unlocked,good,78.0
Apple iPhone 7,128gb,unlocked,poor,70.2
Apple iPhone 7,128gb,unlocked,faulty,23.4
Apple iPhone 7,128gb,verizon,good,78.0
Apple iPhone 7,128gb,verizon,poor,70.2
Apple iPhone 7,128gb,verizon,faulty,23.4
Apple iPhone 7,128gb,AT&T,good,66.07
Apple iPhone 7,128gb,AT&T,poor,59.46
Apple iPhone 7,128gb,AT&T,faulty,19.82
Apple iPhone 7,128gb,T-Mobile,good,60.29
Apple iPhone 7,128gb,T-Mobile,poor,54.26
Apple iPhone 7,128gb,T-Mobile,faulty,18.09
Apple iPhone 7,128gb,sprint,good,55.61
Apple iPhone 7,128gb,sprint,poor,50.05
Apple iPhone 7,128gb,sprint,faulty,16.68
Apple iPhone 7,128gb,other,good,34.32
Apple iPhone 7,128gb,other,poor,30.89
Apple iPhone 7,128gb,other,faulty,10.3
Apple iPhone 7,256gb,unlocked,good,82.0
Apple iPhone 7,256gb,unlocked,poor,73.8
Apple iPhone 7,256gb,unlocked,faulty,24.6
Apple iPhone 7,256gb,verizon,good,82.0
Apple iPhone 7,256gb,verizon,poor,73.8
Apple iPhone 7,256gb,verizon,faulty,24.6
Apple iPhone 7,256gb,AT&T,good,69.45
Apple iPhone 7,256gb,AT&T,poor,62.51
Apple iPhone 7,256gb,AT&T,faulty,20.84
Apple iPhone 7,256gb,T-Mobile,good,63.39
Apple iPhone 7,256gb,T-Mobile,poor,57.05
Apple iPhone 7,256gb,T-Mobile,faulty,19.02
Apple iPhone 7,256gb,sprint,good,58.47
Apple iPhone 7,256gb,sprint,poor,52.62
Apple iPhone 7,256gb,sprint,faulty,17.54
Apple iPhone 7,256gb,other,good,36.08
Apple iPhone 7,256gb,other,poor,32.47
Apple iPhone 7,256gb,other,faulty,10.82
Apple iPhone 7 Plus,32gb,unlocked,good,142.0
Apple iPhone 7 Plus,32gb,unlocked,poor,127.8
Apple iPhone 7 Plus,32gb,unlocked,faulty,42.6
Apple iPhone 7 Plus,32gb,verizon,good,142.0
Apple iPhone 7 Plus,32gb,verizon,poor,127.8
Apple iPhone 7 Plus,32gb,verizon,faulty,42.6
Apple iPhone 7 Plus,32gb,AT&T,good,120.27
Apple iPhone 7 Plus,32gb,AT&T,poor,108.25
Apple iPhone 7 Plus,32gb,AT&T,faulty,36.08
Apple iPhone 7 Plus,32gb,T-Mobile,good,109.77
Apple iPhone 7 Plus,32gb,T-Mobile,poor,98.79
Apple iPhone 7 Plus,32gb,T-Mobile,faulty,32.93
Apple iPhone 7 Plus,32gb,sprint,good,101.25
Apple iPhone 7 Plus,32gb,sprint,poor,91.12
Apple iPhone 7 Plus,32gb,sprint,faulty,30.37
Apple iPhone 7 Plus,32gb,other,good,62.48
Apple iPhone 7 Plus,32gb,other,poor,56.23
Apple iPhone 7 Plus,32gb,other,faulty,18.74
Apple iPhone 7 Plus,128gb,unlocked,good,148.0
Apple iPhone 7 Plus,128gb,unlocked,poor,133.2
Apple iPhone 7 Plus,128gb,unlocked,faulty,44.4
Apple iPhone 7 Plus,128gb,verizon,good,148.0
Apple iPhone 7 Plus,128gb,verizon,poor,133.2
Apple iPhone 7 Plus,128gb,verizon,faulty,44.4
