model,storage,carrier,condition,price
Apple iPhone 8,128,AT&T,Like New,**NOT ENOUGH RESULTS**
Apple iPhone 8,128,AT&T,Good,220.57
Apple iPhone 8,128,AT&T,Fair,215.18
Apple iPhone 8,128,AT&T,Broken,129.99
Apple iPhone 8,128,T-Mobile,Like New,**NOT ENOUGH RESULTS**
Apple iPhone 8,128,T-Mobile,Good,238.7
Apple iPhone 8,128,T-Mobile,Fair,228.08
Apple iPhone 8,128,T-Mobile,Broken,**NOT ENOUGH RESULTS**
Apple iPhone 8,128,Sprint,Like New,**NOT ENOUGH RESULTS**
Apple iPhone 8,128,Sprint,Good,241.66
Apple iPhone 8,128,Sprint,Fair,231.66
Apple iPhone 8,128,Sprint,Broken,**NOT ENOUGH RESULTS**
Apple iPhone 8,256,Unlocked,Like New,249.05
Apple iPhone 8,256,Unlocked,Good,236.23
Apple iPhone 8,256,Unlocked,Fair,232.84
Apple iPhone 8,256,Unlocked,Broken,164.28
Apple iPhone 8,256,Verizon,Like New,248.5
Apple iPhone 8,256,Verizon,Good,236.09
Apple iPhone 8,256,Verizon,Fair,232.84
Apple iPhone 8,256,Verizon,Broken,164.28
Apple iPhone 8,256,AT&T,Like New,239.0
Apple iPhone 8,256,AT&T,Good,226.72
Apple iPhone 8,256,AT&T,Fair,223.88
Apple iPhone 8,256,AT&T,Broken,152.45
Apple iPhone 8,256,T-Mobile,Like New,242.83
Apple iPhone 8,256,T-Mobile,Good,231.21
Apple iPhone 8,256,T-Mobile,Fair,227.39
Apple iPhone 8,256,T-Mobile,Broken,162.1
Apple iPhone 8,256,Sprint,Like New,241.8
Apple iPhone 8,256,Sprint,Good,240.71
Apple iPhone 8,256,Sprint,Fair,238.64
Apple iPhone 8,256,Sprint,Broken,164.85
Apple iPhone 8 Plus,64,Unlocked,Like New,283.5
Apple iPhone 8 Plus,64,Unlocked,Good,262.42
Apple iPhone 8 Plus,64,Unlocked,Fair,259.42
Apple iPhone 8 Plus,64,Unlocked,Broken,187.81
Apple iPhone 8 Plus,64,Verizon,Like New,283.5
Apple iPhone 8 Plus,64,Verizon,Good,262.57
Apple iPhone 8 Plus,64,Verizon,Fair,259.16
Apple iPhone 8 Plus,64,Verizon,Broken,188.32
Apple iPhone 8 Plus,64,AT&T,Like New,283.78
Apple iPhone 8 Plus,64,AT&T,Good,260.72
Apple iPhone 8 Plus,64,AT&T,Fair,257.22
Apple iPhone 8 Plus,64,AT&T,Broken,183.22
Apple iPhone 8 Plus,64,T-Mobile,Like New,281.37
Apple iPhone 8 Plus,64,T-Mobile,Good,257.08
Apple iPhone 8 Plus,64,T-Mobile,Fair,254.29
Apple iPhone 8 Plus,64,T-Mobile,Broken,175.49
Apple iPhone 8 Plus,64,Sprint,Like New,288.03
Apple iPhone 8 Plus,64,Sprint,Good,259.67
Apple iPhone 8 Plus,64,Sprint,Fair,257.26
Apple iPhone 8 Plus,64,Sprint,Broken,179.62
Apple iPhone 8 Plus,128,Unlocked,Like New,323.59
Apple iPhone 8 Plus,128,Unlocked,Good,312.99
Apple iPhone 8 Plus,128,Unlocked,Fair,312.99
Apple iPhone 8 Plus,128,Unlocked,Broken,247.24
Apple iPhone 8 Plus,128,Verizon,Like New,323.59
